21	40	603
21	38	602
24	38	605
24	41	602
21	38	603
24	39	602
25	40	604
21	39	602
23	40	600
24	39	602
22	42	604
25	41	602
21	40	603
23	43	603
23	43	603
22	39	606
25	42	604
23	40	601
22	38	601
25	41	607
24	39	603
23	41	602
22	39	601
23	38	603
23	41	602
110	-459	180
95	-459	167
102	-462	173
128	-456	173
220	-438	159
412	-381	133
562	-268	107
668	-94	90
706	50	97
706	50	97
718	122	106
676	-64	143
553	-281	155
411	-401	143
239	-465	136
135	-480	108
72	-481	98
-3	-471	108
-180	-416	104
-399	-220	99
-492	-7	97
-497	199	132
-490	241	146
-497	130	156
-440	-153	121
-280	-356	123
-33	-475	117
78	-489	107
89	-484	131
71	-420	288
69	-328	395
77	-172	495
78	9	558
83	83	567
89	82	566
89	50	558
97	-113	521
98	-213	478
94	-350	370
104	-446	239
94	-460	180
79	-470	112
87	-466	26
128	-414	-69
134	-304	-189
132	-185	-257
143	-34	-303
156	44	-313
161	48	-315
124	-27	-306
33	-287	-197
15	-381	-67
38	-426	48
75	-427	180
96	-426	175
86	-430	171
75	-426	150
80	-427	155
71	-427	152
112	-431	157
130	-430	145
167	-468	100
167	-468	100
143	-523	69
114	-491	66
156	-500	28
124	-504	31
16	-494	27
-204	-405	30
-338	-266	15
-428	-80	10
-445	65	6
-447	89	13
-430	-47	-10
-430	-47	-10
-136	-451	-51
1	-507	-26
93	-526	-7
127	-526	-10
311	-489	3
517	-370	2
637	-230	29
704	-61	44
721	97	41
714	137	37
719	97	31
719	97	31
502	-377	-17
279	-488	-30
169	-500	-58
172	-483	-79
174	-463	-149
194	-362	-281
182	-245	-365
203	-32	-413
209	93	-410
216	163	-400
217	174	-402
217	174	-402
194	-223	-356
164	-362	-264
130	-455	-134
126	-484	-17
81	-453	135
63	-339	334
92	-196	464
155	-65	542
156	9	566
164	77	574
156	102	581
156	102	581
150	305	519
177	456	439
161	537	363
157	567	302
154	586	263
154	613	225
157	603	237
163	589	266
103	438	462
105	100	616
134	-210	571
134	-210	571
195	-520	263
208	-545	146
248	-541	104
279	-532	93
561	-362	125
683	-117	59
696	12	25
703	90	65
694	124	195
538	173	431
330	199	525
330	199	525
-25	172	522
-167	160	472
-370	148	293
-451	116	162
-473	134	86
-371	146	298
-111	145	497
296	119	551
441	124	519
651	104	328
701	136	171
701	136	171
594	138	-260
466	121	-393
251	125	-499
33	124	-537
-5	109	-536
14	-41	-551
21	-247	-525
3	-444	-413
-5	-547	-281
-34	-590	-128
-34	-591	-112
-34	-591	-112
206	-577	-131
276	-554	-129
293	-538	-152
374	-499	-152
499	-393	-120
571	-291	-110
632	-125	-112
659	57	-61
631	241	-48
513	451	-20
418	541	-45
304	570	-63
198	579	-79
89	579	-97
-84	543	-132
-242	468	-168
-362	371	-189
-472	224	-215
-534	82	-223
-555	-44	-222
-560	-66	-225
-564	-97	-226
-562	-113	-218
-555	-102	-257
-553	-79	-251
-561	-122	-205
-557	-175	-210
-501	-363	-218
-375	-520	-241
-198	-605	-228
-108	-618	-218
-82	-625	-162
-88	-580	42
-73	-364	275
-56	-110	389
-69	107	401
-77	270	364
-53	353	335
-58	480	250
-108	523	180
-133	563	85
-149	561	-64
-150	508	-211
-159	384	-380
-145	303	-466
-139	58	-606
-95	-117	-649
-80	-251	-653
-59	-465	-601
-52	-641	-459
-64	-701	-324
-66	-714	-243
-37	-714	-237
-40	-712	-220
-59	-709	-194
-56	-709	-215
-49	-707	-205
-46	-710	-174
-40	-711	-177
-52	-707	-177
-45	-712	-188
-45	-707	-172
-72	-700	-144
-38	-701	-121
-38	-701	-121
54	-700	-95
111	-692	-88
105	-687	-108
47	-700	-170
30	-699	-169
72	-691	-187
41	-694	-201
50	-700	-222
42	-693	-258
33	-692	-240
24	-693	-246
24	-693	-246
36	-701	-220
17	-707	-222
-5	-698	-206
-54	-696	-188
-13	-699	-133
-12	-696	-116
-52	-689	-153
-56	-690	-131
17	-674	-34
62	-578	135
38	-465	248
38	-465	248
30	-30	407
18	54	408
47	40	413
57	-31	417
102	-253	387
26	-430	301
66	-474	265
81	-518	223
32	-582	140
9	-629	51
5	-648	-22
5	-648	-22
1	-647	-72
46	-651	-65
110	-646	-53
285	-595	-52
544	-333	22
635	-51	59
638	14	50
627	-153	43
429	-482	-4
172	-611	-74
-4	-616	-53
-4	-616	-53
-387	-391	-104
-506	-92	-37
-495	58	8
-490	79	18
-503	-44	17
-478	-198	-4
-331	-460	-85
-140	-570	-87
-68	-604	-57
-36	-609	-4
-24	-560	108
-19	-343	321
-1	-35	438
49	113	444
19	-81	435
-61	-383	293
8	-574	85
-17	-597	6
-14	-604	-25
-31	-609	-116
-52	-600	-152
-38	-597	-203
-2	-573	-297
31	-508	-395
17	-263	-565
-19	-94	-609
-11	56	-606
3	6	-613
-27	-51	-615
3	-254	-601
-20	-491	-477
-30	-603	-318
-39	-626	-191
6	-630	-80
-17	-615	-46
50	-612	-12
103	-602	-4
408	-490	-1
613	-197	49
645	39	71
649	14	59
593	-236	70
385	-484	50
117	-585	-7
-28	-570	11
-151	-540	-50
-305	-442	-73
-446	-216	-37
-490	14	-37
-483	120	2
-491	64	-13
-491	-46	-10
-439	-254	-76
-291	-444	-27
-123	-535	10
17	-572	-6
35	-561	51
73	-369	314
133	-48	453
106	54	463
81	-205	406
75	-431	256
51	-557	49
60	-585	-93
53	-565	-218
87	-473	-395
88	-331	-509
76	-198	-576
52	-181	-584
23	-384	-491
-4	-516	-355
-4	-516	-355
15	-574	10
47	-581	4
179	-577	-29
459	-432	-12
626	-99	63
645	28	65
640	-68	53
516	-366	4
244	-550	-43
75	-579	-65
-21	-571	-67
-21	-571	-67
11	-573	-105
30	-559	-224
50	-432	-436
13	-222	-573
-26	-47	-607
-63	-61	-606
-36	-286	-562
-16	-536	-372
-19	-592	-243
7	-605	-125
-42	-592	-139
-42	-592	-139
-300	-461	-127
-462	-226	-119
-500	37	-60
-489	95	-52
-495	-129	-132
-348	-432	-153
-176	-547	-174
-8	-594	-160
32	-600	-134
19	-598	-126
12	-599	-130
12	-599	-130
-21	-378	-501
11	-126	-603
22	-12	-613
37	-19	-616
46	-4	-614
49	-60	-616
29	-348	-540
33	-573	-329
-3	-604	-220
18	-609	-126
25	-605	-101
28	-607	-105
375	-523	-117
488	-433	-74
593	-261	-34
623	-170	-11
636	-95	1
638	-77	1
620	-180	-14
464	-457	-85
325	-549	-136
174	-602	-162
86	-606	-192
48	-604	-195
-30	-595	-197
-167	-546	-207
-361	-390	-99
-493	-93	-65
-478	167	-50
-485	121	-22
-498	-102	-55
-361	-426	-100
-206	-549	-127
-65	-600	-152
-47	-599	-155
-52	-568	-300
-37	-305	-552
25	-65	-613
23	-6	-615
0	-294	-561
0	-294	-561
5	-610	-173
-1	-607	-134
9	-518	142
5	-274	356
6	-13	441
20	22	445
25	28	455
22	12	451
29	16	454
46	56	456
41	41	457
41	41	457
-3	79	463
39	57	483
111	56	490
85	-2	494
102	4	501
71	20	502
72	57	514
56	35	511
47	-8	512
116	-17	507
142	-16	507
142	-16	507
96	-22	510
63	-21	513
57	31	522
14	-14	521
2	52	522
38	146	525
78	154	524
104	116	522
70	110	525
79	97	528
109	170	519
116	170	518
23	42	518
45	-23	516
50	-54	512
109	-57	510
125	-69	509
124	-74	506
93	-64	507
-106	-65	469
-341	-75	306
-443	-94	110
-368	-78	247
-236	-83	374
-197	-81	398
-152	-61	427
-160	-57	426
-149	-59	431
-27	-86	469
131	-78	496
186	-82	494
482	-63	379
629	-30	185
651	-50	44
558	-55	311
260	-42	495
172	-49	512
156	-30	489
105	-12	500
-87	-17	470
-404	-8	206
-457	-37	42
-437	-37	117
69	-105	459
142	-99	475
97	189	489
70	448	368
70	448	368
108	585	70
96	583	31
128	485	236
80	93	439
30	-348	372
19	-553	173
66	-606	18
109	-558	158
